"109年06月05日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","6.87","108","10.62","1.28","109/1",
"1102","亞泥","6.64","108","9.96","1.07","109/1",
"1103","嘉泥","5.90","108","11.38","0.52","109/1",
"1104","環泥","5.56","108","11.46","0.67","109/1",
"1108","幸福","1.58","108","22.62","0.89","109/1",
"1109","信大","6.01","108","6.75","0.91","109/1",
"1110","東泥","0.61","108","-","1.12","109/1",
"1201","味全","5.77","108","45.20","1.86","109/1",
"1203","味王","3.50","108","14.87","1.34","109/1",
"1210","大成","4.98","108","14.64","2.07","109/1",
"1213","大飲","0.00","106","-","0.59","109/1",
"1215","卜蜂","5.35","108","13.76","2.57","109/1",
"1216","統一","3.38","108","23.09","3.76","109/1",
"1217","愛之味","0.00","107","62.42","0.67","109/1",
"1218","泰山","3.59","108","20.24","1.82","109/1",
"1219","福壽","2.06","108","14.26","1.49","109/1",
"1220","台榮","5.53","108","14.47","0.83","109/1",
"1225","福懋油","3.43","108","24.45","2.53","109/1",
"1227","佳格","4.03","108","18.46","3.48","109/1",
"1229","聯華","7.54","108","24.12","1.76","109/1",
"1231","聯華食","4.96","108","14.44","1.98","109/1",
"1232","大統益","4.08","108","20.76","4.53","109/1",
"1233","天仁","4.39","108","27.61","2.09","109/1",
"1234","黑松","5.16","108","16.73","0.74","109/1",
"1235","興泰","4.23","108","37.14","1.07","109/1",
"1236","宏亞","2.43","108","65.00","0.86","109/1",
"1256","鮮活果汁-KY","2.88","108","15.55","3.62","109/1",
"1301","台塑","5.02","108","19.38","1.79","109/1",
"1303","南亞","3.37","108","27.21","1.59","109/1",
"1304","台聚","4.05","108","10.65","0.72","109/1",
"1305","華夏","5.14","108","13.32","1.20","109/1",
"1307","三芳","3.39","108","21.65","1.16","109/1",
"1308","亞聚","5.91","108","12.40","1.06","109/1",
"1309","台達化","3.92","108","14.71","1.17","109/1",
"1310","台苯","5.93","108","37.44","1.36","109/1",
"1312","國喬","0.00","107","9.39","0.60","109/1",
"1313","聯成","2.04","108","-","0.68","109/1",
"1314","中石化","3.53","108","19.34","0.40","109/1",
"1315","達新","6.31","108","15.75","1.43","109/1",
"1316","上曜","16.73","107","-","1.14","109/1",
"1319","東陽","4.38","108","13.07","1.10","109/1",
"1321","大洋","0.00","107","18.27","1.26","109/1",
"1323","永裕","4.79","108","10.06","1.56","109/1",
"1324","地球","3.02","108","49.65","0.76","109/1",
"1325","恆大","0.16","108","108.62","8.73","109/1",
"1326","台化","5.03","108","26.71","1.43","109/1",
"1337","再生-KY","0.00","107","-","0.21","109/1",
"1338","廣華-KY","5.98","108","17.06","0.79","109/1",
"1339","昭輝","4.32","108","10.14","0.97","109/1",
"1340","勝悅-KY","11.43","107","-","0.28","109/1",
"1341","富林-KY","8.14","108","9.84","2.37","109/1",
"1402","遠東新","5.40","108","14.55","0.73","109/1",
"1409","新纖","4.89","108","11.60","0.65","109/1",
"1410","南染","3.19","108","29.53","1.89","109/1",
"1413","宏洲","0.00","107","-","0.82","109/1",
"1414","東和","2.97","108","56.17","0.49","109/1",
"1416","廣豐","0.00","108","-","0.57","109/1",
"1417","嘉裕","5.81","108","5.41","0.57","109/1",
"1418","東華","0.00","107","-","0.55","109/1",
"1419","新紡","2.40","108","30.66","1.59","109/1",
"1423","利華","1.12","108","-","0.64","109/1",
"1432","大魯閣","0.00","107","-","1.00","109/1",
"1434","福懋","6.67","108","12.34","1.10","109/1",
"1435","中福","0.00","107","-","1.23","109/1",
"1436","華友聯","6.63","108","17.06","1.30","109/1",
"1437","勤益控","5.16","108","5.52","0.69","109/1",
"1438","裕豐","0.00","107","34.86","2.23","109/1",
"1439","中和","13.55","108","3.53","1.21","109/1",
"1440","南紡","2.09","108","95.60","0.66","109/1",
"1441","大東","45.58","107","-","0.74","109/1",
"1442","名軒","5.52","108","58.39","1.09","109/1",
"1443","立益","0.00","107","-","1.07","109/1",
"1444","力麗","5.31","107","-","0.74","109/1",
"1445","大宇","2.38","108","-","0.67","109/1",
"1446","宏和","1.02","108","295.00","2.61","109/1",
"1447","力鵬","3.17","107","-","0.60","109/1",
"1449","佳和","0.00","107","-","3.64","109/1",
"1451","年興","0.00","108","-","0.47","109/1",
"1452","宏益","7.00","108","17.50","0.91","109/1",
"1453","大將","2.69","108","-","0.60","109/1",
"1454","台富","3.18","108","37.38","0.65","109/1",
"1455","集盛","2.79","107","-","0.63","109/1",
"1456","怡華","0.00","107","41.50","0.77","109/1",
"1457","宜進","7.97","108","-","0.69","109/1",
"1459","聯發","0.00","107","-","0.98","109/1",
"1460","宏遠","2.42","107","-","0.87","109/1",
"1463","強盛","4.96","108","18.91","0.89","109/1",
"1464","得力","6.86","108","16.07","1.52","109/1",
"1465","偉全","9.74","108","-","0.83","109/1",
"1466","聚隆","0.00","107","-","1.07","109/1",
"1467","南緯","0.00","107","-","2.21","109/1",
"1468","昶和","0.00","107","25.31","1.35","109/1",
"1470","大統新創","4.20","108","22.95","1.76","109/1",
"1471","首利","0.00","107","-","0.55","109/1",
"1472","三洋紡","0.00","107","193.57","1.74","109/1",
"1473","台南","2.37","108","-","0.80","109/1",
"1474","弘裕","2.50","107","30.00","0.83","109/1",
"1475","本盟","0.00","107","-","12.61","109/1",
"1476","儒鴻","3.37","108","21.87","4.75","109/1",
"1477","聚陽","3.19","108","18.65","3.60","109/1",
"1503","士電","3.47","108","14.42","0.99","109/1",
"1504","東元","3.52","108","17.90","1.01","109/1",
"1506","正道","0.00","107","-","2.22","109/1",
"1507","永大","3.88","108","24.44","2.05","109/1",
"1512","瑞利","0.00","107","-","5.27","109/1",
"1513","中興電","4.11","108","20.00","1.57","109/1",
"1514","亞力","5.00","108","15.58","1.58","109/1",
"1515","力山","3.70","108","27.59","4.26","109/1",
"1516","川飛","2.82","108","21.31","1.19","109/1",
"1517","利奇","2.24","108","-","0.66","109/1",
"1519","華城","3.72","108","26.07","2.25","109/1",
"1521","大億","6.56","108","14.99","2.37","109/1",
"1522","堤維西","5.45","108","14.60","1.20","109/1",
"1524","耿鼎","4.46","108","11.34","0.70","109/1",
"1525","江申","4.01","108","18.26","0.90","109/1",
"1526","日馳","2.24","108","22.71","2.09","109/1",
"1527","鑽全","2.85","108","12.72","1.46","109/1",
"1528","恩德","1.26","108","-","0.70","109/1",
"1529","樂士","3.12","108","34.89","1.45","109/1",
"1530","亞崴","4.72","108","7.83","0.97","109/1",
"1531","高林股","1.57","108","-","0.65","109/1",
"1532","勤美","3.12","108","39.52","0.95","109/1",
"1533","車王電","1.67","108","17.18","1.18","109/1",
"1535","中宇","3.64","108","29.68","1.37","109/1",
"1536","和大","2.01","108","42.12","3.81","109/1",
"1537","廣隆","6.80","108","12.52","2.81","109/1",
"1538","正峰新","0.00","107","-","0.95","109/1",
"1539","巨庭","4.52","108","21.07","0.86","109/1",
"1540","喬福","5.92","108","17.07","0.99","109/1",
"1541","錩泰","2.56","107","9.27","2.19","109/1",
"1558","伸興","6.45","108","11.60","1.70","109/1",
"1560","中砂","4.53","108","16.57","1.98","109/1",
"1568","倉佑","3.10","108","-","1.13","109/1",
"1582","信錦","5.42","108","11.48","1.84","109/1",
"1583","程泰","4.89","108","13.74","1.43","109/1",
"1587","吉茂","3.85","108","130.00","0.74","109/1",
"1589","永冠-KY","0.79","108","42.42","0.90","109/1",
"1590","亞德客-KY","0.97","108","38.13","5.08","109/1",
"1592","英瑞-KY","0.00","108","-","0.56","109/1",
"1598","岱宇","2.32","108","39.92","2.25","109/1",
"1603","華電","1.87","108","17.99","0.85","109/1",
"1604","聲寶","7.18","108","10.25","1.20","109/1",
"1605","華新","3.51","108","17.17","0.65","109/1",
"1608","華榮","6.98","108","-","0.69","109/1",
"1609","大亞","2.75","108","12.11","0.89","109/1",
"1611","中電","8.82","108","6.63","1.01","109/1",
"1612","宏泰","4.88","108","44.57","0.74","109/1",
"1614","三洋電","2.63","108","34.62","1.65","109/1",
"1615","大山","8.66","108","10.85","1.44","109/1",
"1616","億泰","0.00","107","-","0.55","109/1",
"1617","榮星","2.62","108","14.87","0.98","109/1",
"1618","合機","3.60","108","23.14","0.51","109/1",
"1626","艾美特-KY","3.70","108","24.15","1.28","109/1",
"1701","中化","3.70","108","15.58","1.06","109/1",
"1702","南僑","4.26","108","13.75","2.14","109/1",
"1707","葡萄王","3.33","108","20.27","4.13","109/1",
"1708","東鹼","6.57","108","20.99","0.89","109/1",
"1709","和益","3.69","108","27.10","0.94","109/1",
